iter	Passed	Remaining
0	1	195
1	4	204
2	5	190
3	7	176
4	9	173
5	10	170
6	12	166
7	14	163
8	16	161
9	17	159
10	19	157
11	21	155
12	22	153
13	24	151
14	26	149
15	28	147
16	29	146
17	31	144
18	33	142
19	35	140
20	36	138
21	38	136
22	40	134
23	41	132
24	43	131
25	45	130
26	47	129
27	49	127
28	51	125
29	53	123
30	54	121
31	56	120
32	58	119
33	60	117
34	62	115
35	63	113
36	65	111
37	67	109
38	68	107
39	70	105
40	72	104
41	73	101
42	74	99
43	76	97
44	78	95
45	80	93
46	81	92
47	83	90
48	85	89
49	87	87
50	89	85
51	90	83
52	92	81
53	93	79
54	94	77
55	96	75
56	98	74
57	100	72
58	102	70
59	103	69
60	105	67
61	106	65
62	108	63
63	110	62
64	111	60
65	113	58
66	115	56
67	117	55
68	119	53
69	121	51
70	123	50
71	125	48
72	127	47
73	129	45
74	131	43
75	133	42
76	135	40
77	137	38
78	139	37
79	140	35
80	142	33
81	144	31
82	145	29
83	147	28
84	148	26
85	150	24
86	151	22
87	153	20
88	154	19
89	156	17
90	158	15
91	159	13
92	161	12
93	162	10
94	164	8
95	165	6
96	167	5
97	168	3
98	170	1
99	171	0
