iter	Passed	Remaining
0	157	157203
1	160	79903
2	162	54072
3	165	41130
4	167	33427
5	172	28505
6	174	24771
7	177	21971
8	179	19785
9	183	18135
10	188	16954
11	191	15735
12	194	14755
13	196	13826
14	198	13028
15	200	12339
16	202	11712
17	204	11177
18	207	10728
19	210	10307
20	214	10015
21	217	9653
22	219	9343
23	222	9058
24	234	9144
25	237	8879
26	247	8910
27	250	8693
28	252	8469
29	255	8260
30	257	8063
31	262	7931
32	265	7775
33	268	7622
34	273	7534
35	281	7538
36	285	7433
37	287	7282
38	293	7241
39	297	7131
40	300	7038
41	304	6954
42	308	6863
43	311	6765
44	313	6656
45	315	6553
46	318	6450
47	320	6356
48	322	6261
49	324	6166
50	326	6071
51	328	5983
52	330	5896
53	331	5809
54	334	5748
55	336	5668
56	338	5592
57	339	5516
58	341	5445
59	343	5374
60	344	5304
61	346	5238
62	349	5191
63	350	5128
64	352	5076
65	354	5018
66	356	4965
67	358	4908
68	359	4854
69	362	4817
70	364	4766
71	365	4716
72	367	4666
73	369	4625
74	371	4582
75	373	4540
76	375	4497
77	378	4477
78	380	4439
79	383	4406
80	385	4374
81	387	4336
82	388	4290
83	390	4253
84	393	4238
85	395	4202
86	397	4170
87	399	4139
88	402	4117
89	404	4093
90	409	4085
91	411	4062
92	414	4038
93	416	4015
94	418	3989
95	422	3977
96	424	3954
97	426	3926
98	428	3897
99	429	3869
100	431	3842
101	433	3814
102	435	3788
103	437	3767
104	439	3742
105	440	3717
106	442	3691
107	443	3665
108	445	3641
109	447	3617
110	448	3592
111	451	3582
112	453	3559
113	455	3536
114	456	3514
115	458	3492
116	459	3468
117	461	3447
118	462	3426
119	465	3414
120	467	3398
121	469	3377
122	470	3358
123	472	3338
124	475	3326
125	476	3307
126	478	3287
127	482	3288
128	484	3271
129	486	3253
130	487	3236
131	489	3219
132	491	3201
133	492	3185
134	495	3175
135	497	3159
136	498	3142
137	500	3125
138	501	3109
139	503	3092
140	505	3076
141	506	3058
142	507	3043
143	510	3034
144	512	3019
145	513	3004
146	515	2989
147	516	2975
148	518	2960
149	519	2946
150	521	2933
151	523	2920
152	526	2912
153	527	2898
154	529	2884
155	530	2871
156	532	2858
157	533	2844
158	535	2833
159	537	2821
160	538	2807
161	541	2798
162	542	2786
163	544	2774
164	545	2762
165	547	2749
166	549	2739
167	550	2727
168	552	2716
169	554	2709
170	556	2699
171	558	2688
172	560	2677
173	562	2668
174	563	2657
175	565	2646
176	567	2640
177	569	2630
178	571	2619
179	572	2609
180	574	2598
181	576	2589
182	577	2579
183	579	2568
184	581	2562
185	583	2553
186	585	2544
187	586	2535
188	588	2526
189	590	2518
190	592	2508
191	593	2499
192	595	2490
193	597	2484
194	599	2474
195	601	2465
196	602	2456
197	604	2447
198	605	2438
199	607	2428
200	608	2420
201	610	2413
202	612	2405
203	614	2396
204	616	2390
205	617	2381
206	619	2373
207	621	2364
208	622	2356
209	624	2348
210	626	2343
211	628	2335
212	630	2327
213	631	2319
214	633	2311
215	634	2303
216	636	2295
217	637	2287
218	639	2279
219	641	2273
220	642	2265
221	644	2258
222	645	2250
223	647	2242
224	648	2235
225	650	2227
226	652	2220
227	654	2216
228	656	2210
229	658	2203
230	659	2196
231	661	2189
232	663	2183
233	664	2176
234	666	2169
235	669	2166
236	671	2160
237	672	2153
238	674	2147
239	676	2140
240	677	2134
241	679	2127
242	680	2120
243	682	2115
244	684	2110
245	686	2103
246	687	2097
247	689	2090
248	691	2084
249	692	2077
250	694	2071
251	695	2065
252	697	2060
253	699	2055
254	701	2048
255	702	2042
256	704	2036
257	705	2030
258	707	2023
259	709	2019
260	711	2013
261	713	2010
262	715	2004
263	716	1998
264	718	1992
265	720	1986
266	721	1980
267	723	1974
268	724	1969
269	726	1963
270	728	1960
271	730	1954
272	731	1949
273	733	1943
274	735	1937
275	736	1932
276	738	1927
277	739	1921
278	742	1917
279	743	1913
280	745	1908
281	747	1902
282	748	1897
283	750	1892
284	752	1887
285	753	1881
286	755	1876
287	758	1873
288	759	1868
289	761	1863
290	763	1859
291	765	1855
292	767	1851
293	769	1847
294	772	1846
295	774	1842
296	776	1838
297	778	1833
298	779	1828
299	781	1823
300	783	1818
301	784	1813
302	787	1810
303	788	1805
304	790	1801
305	792	1796
306	793	1791
307	795	1786
308	796	1781
309	798	1776
310	801	1774
311	802	1769
312	804	1765
313	806	1761
314	807	1756
315	809	1751
316	810	1747
317	812	1742
318	814	1737
319	816	1734
320	818	1731
321	820	1726
322	821	1722
323	823	1717
324	824	1713
325	826	1708
326	827	1704
327	831	1702
328	832	1698
329	834	1693
330	835	1689
331	837	1684
332	838	1680
333	840	1675
334	841	1671
335	844	1669
336	846	1665
337	847	1660
338	850	1657
339	851	1653
340	853	1648
341	854	1644
342	856	1640
343	858	1637
344	860	1633
345	861	1629
346	863	1624
347	864	1620
348	866	1616
349	868	1612
350	869	1607
351	871	1604
352	873	1600
353	874	1596
354	876	1592
355	877	1588
356	879	1583
357	880	1579
358	883	1576
359	884	1573
360	887	1570
361	889	1566
362	890	1562
363	892	1558
364	893	1554
365	895	1551
366	897	1547
367	899	1544
